Date,Open,High,Low,Close,Adj Close
3/1/2016,16013,17291.34961,15857.37012,16758.66992,16758.66992
4/1/2016,16719.56055,17613.56055,15471.79981,16666.05078,16666.05078
5/1/2016,16357.09961,17251.35938,15975.46973,17234.98047,17234.98047
6/1/2016,17097.2207,17145.94922,14864.00977,15575.91992,15575.91992
7/1/2016,15698.01953,16938.96094,15106.51953,16569.26953,16569.26953
8/1/2016,16415.31055,16943.66992,15921.04004,16887.40039,16887.40039
9/1/2016,16885.16016,17156.35938,16285.41016,16449.83984,16449.83984
10/1/2016,16566.0293,17461.0293,16554.83008,17425.01953,17425.01953
11/1/2016,17380.53906,18482.93945,16111.80957,18308.48047,18308.48047
12/1/2016,18535.24023,19592.90039,18227.39063,19114.36914,19114.36914
1/1/2017,19298.67969,19615.40039,18650.33008,19041.33984,19041.33984
2/1/2017,18926.9707,19519.43945,18805.32031,19118.99023,19118.99023
3/1/2017,19226.93945,19668.00977,18909.25977,18909.25977,18909.25977
4/1/2017,18988,19289.42969,18224.67969,19196.74023,19196.74023
5/1/2017,19154.0293,19998.49023,19144.61914,19650.57031,19650.57031
6/1/2017,19692.16016,20318.10938,19686.32031,20033.42969,20033.42969
7/1/2017,20056.32031,20200.88086,19856.65039,19925.17969,19925.17969
8/1/2017,19907.08008,20113.73047,19280.01953,19646.24023,19646.24023
9/1/2017,19733.57031,20481.26953,19239.51953,20356.2793,20356.2793
10/1/2017,20400.50977,22086.88086,20363.2793,22011.60938,22011.60938
11/1/2017,22144.91992,23382.15039,21972.33984,22724.96094,22724.96094
12/1/2017,22916.92969,22994.33008,22119.21094,22764.93945,22764.93945
1/1/2018,23073.73047,24129.33984,23065.19922,23098.28906,23098.28906
2/1/2018,23276.09961,23492.76953,20950.15039,22068.24023,22068.24023
3/1/2018,21901.13086,21971.16016,20347.49023,21454.30078,21454.30078
4/1/2018,21441.57031,22495.56055,21056.01953,22467.86914,22467.86914
5/1/2018,22453.41992,23050.39063,21931.65039,22201.82031,22201.82031
6/1/2018,22126.25,23011.57031,22038.40039,22304.50977,22304.50977
7/1/2018,22233.80078,22949.32031,21462.94922,22553.7207,22553.7207
8/1/2018,22642.17969,23032.16992,21851.32031,22865.15039,22865.15039
9/1/2018,22819.16992,24286.09961,22172.90039,24120.03906,24120.03906
10/1/2018,24173.36914,24448.07031,20971.92969,21920.46094,21920.46094
11/1/2018,21906.41016,22583.42969,21243.38086,22351.06055,22351.06055
12/1/2018,22629.39063,22698.78906,18948.58008,20014.76953,20014.76953
1/1/2019,19655.13086,20892.67969,19241.36914,20773.49023,20773.49023
2/1/2019,20797.0293,21610.88086,20315.31055,21385.16016,21385.16016
3/1/2019,21490.01953,21860.39063,20911.57031,21205.81055,21205.81055
4/1/2019,21500.89063,22362.91992,21471.11914,22258.73047,22258.73047
5/1/2019,22184.40039,22190.49023,20581.58008,20601.18945,20601.18945
6/1/2019,20327.86914,21497.82031,20289.64063,21275.91992,21275.91992
7/1/2019,21566.26953,21823.07031,20993.43945,21521.5293,21521.5293
8/1/2019,21361.58008,21556.68945,20110.75977,20704.36914,20704.36914
9/1/2019,20625.75,22255.56055,20554.16016,21755.83984,21755.83984
10/1/2019,21831.43945,23008.42969,21276.00977,22927.03906,22927.03906
11/1/2019,22730.49023,23608.06055,22705.59961,23293.91016,23293.91016
12/1/2019,23388.63086,24091.11914,23044.7793,23656.61914,23656.61914
1/1/2020,23319.75977,24115.94922,22892.94922,23205.17969,23205.17969
2/1/2020,22874.26953,23995.36914,20916.40039,21142.96094,21142.96094
3/1/2020,20849.78906,21719.7793,16358.19043,18917.00977,18917.00977
